List,Rank,ISSN,Journal Title,Hits
Environment,1,17586798,Nature Climate Change,1
Environment,2,15452050,Annual Review of Environment and Resources,1
Environment,3,18733883,Applied Catalysis B: Environmental,0
Environment,3,09263373,Applied Catalysis B: Environmental,0
Environment,4,25750348,Energy and Environmental Materials,0
Environment,4,25750356,Energy and Environmental Materials,0
Environment,5,13652486,Global Change Biology,0
Environment,5,13541013,Global Change Biology,0
Environment,6,18736750,Environment international,0
Environment,6,01604120,Environment international,6
Environment,7,23284277,Earth's Future,0
Environment,8,22104224,Environmental Innovation and Societal Transitions,2
Environment,9,02637758,Environment and Planning D: Society and Space,1
Environment,10,08866236,Global Biogeochemical Cycles,0
Environment,10,19449224,Global Biogeochemical Cycles,0
Environment,16,09596526,Journal of Cleaner Production,44
Environment,28,14693062,Climate Policy,0
Environment,28,17527457,Climate Policy,0
Environment,31,1552390X,Environment and Behavior,1
Nutrition,1,01999885,Annual Review of Nutrition,0
Nutrition,1,15454312,Annual Review of Nutrition,0
Nutrition,2,21565376,Advances in Nutrition,8
Nutrition,3,14795868,International Journal of Behavioral Nutrition and Physical Activity,4
Nutrition,4,19383207,American Journal of Clinical Nutrition,83
Nutrition,5,19307381,Obesity,2
Nutrition,6,15321983,Clinical Nutrition,0
Nutrition,6,02615614,Clinical Nutrition,17
Nutrition,7,1526484X,International Journal of Sport Nutrition and Exercise Metabolism,1
Nutrition,8,03070565,International Journal of Obesity,1
Nutrition,9,09544224,Nutrition Research Reviews,2
Nutrition,10,21613311,Current Nutrition Reports,4
Nutrition,13,20726643,Nutrients,105
Nutrition,39,00296651,Proceedings of the Nutrition Society,66
Nutrition,44,24752991,Current Developments in Nutrition,40
