List,Rank,ISSN,Journal Title,Hits
Nutrition,13,20726643,Nutrients,119
Nutrition,4,19383207,American Journal of Clinical Nutrition,86
Nutrition,39,296651,Proceedings of the Nutrition Society,66
Environment,16,9596526,Journal of Cleaner Production,53
Nutrition,44,24752991,Current Developments in Nutrition,41
Nutrition,6,2615614,Clinical Nutrition,17
Nutrition,2,21565376,Advances in Nutrition,8
Environment,6,1604120,Environment international,6
Nutrition,3,14795868,International Journal of Behavioral Nutrition and Physical Activity,4
Nutrition,5,19307381,Obesity,4
Nutrition,10,21613311,Current Nutrition Reports,4
Environment,8,22104224,Environmental Innovation and Societal Transitions,2
Nutrition,9,9544224,Nutrition Research Reviews,2
Environment,1,1758678X,Nature Climate Change,1
Environment,2,15452050,Annual Review of Environment and Resources,1
Environment,9,14723433,Environment and Planning D: Society and Space,1
Environment,31,1552390X,Environment and Behavior,1
Nutrition,7,1526484X,International Journal of Sport Nutrition and Exercise Metabolism,1
Nutrition,8,3070565,International Journal of Obesity,1
Environment,3,9263373,Applied Catalysis B: Environmental,0
Environment,4,25750356,Energy and Environmental Materials,0
Environment,5,13652486,Global Change Biology,0
Environment,7,23284277,Earth's Future,0
Environment,10,8866236,Global Biogeochemical Cycles,0
Environment,28,14693062,Climate Policy,0
Nutrition,1,1999885,Annual Review of Nutrition,0
